"Accepts only alphabet characters.","Accepts only alphabet characters."
"Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!","Pas uw zoekcriteria aan en probeer het opnieuw. Als u nog steeds niks relevants kan vinden, bezoek dan de homepage en bekijk onze bestsellers!"
"Select ","Selecteer "
"You are offline. Some features might not be available.","U bent momenteel offline, niet alle onderdelen van de shop zullen volledig werken"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>","U kunt zich aanmelden bij uw account met eerder gedefinieerd e-mailadres en wachtwoord. In uw account kunt u <b>uw profielgegevens bewerken</b>, de <b>geschiedenis van transacties bekijken</b>, het <b>abonnement op de nieuwsbrief bewerken</b>."
"color_filter","Kleur"
"not authorized","geen toegang"
"price_filter","Prijs"
"size_filter","Grootte"
About us,Over ons
Add a discount code,Voeg een kortingscode toe
Add discount code,Voeg kortingscode toe
Add review,Review toevoegen
Add to cart,In winkelwagen
Add to compare,Voeg toe aan de vergelijking
Add to favorite,Voeg toe aan favorieten
Allow notification about the order,Sta notificaties over uw order toe
Apply,Toepassen
Author,Auteur
Authorization in progress ...,Bezig met autorizeren...
Availability,Beschikbaarheid
Back to login,Terug naar login
Back,Terug
Billing address,Factuuradres
Cancel,Annuleren
Change my password,Wijzig mijn wachtwoord
Choose your country,Kies uw land
City *,Stad *
City,Stad
Clear,Leegmaken
Close,Sluiten
Company name *,Bedrijfsnaam *
Complete,Compleet
Confirm your order,Bevestig uw bestelling
Contact us,Neem contact met ons op
Continue to payment,Ga door naar betaling
Continue to shipping,Ga door naar verzending
Copy address data from shipping,Kopieer adresgegevens van verzending
Country,Land
Current password *,Huidige wachtwoord *
Customer service,Klantenservice
Customer service,Klantenservice
Date and time,Datum en tijd
Delivery,Levering
Departments,Afdelingen
Description,Beschrijving
Details,Details
Discount code,Kortingscode
Don't hesitate and,Aarzel niet en
Dutch,Nederlands
E-mail address *,Email adres *
Edit newsletter preferences,Wijzig nieuwsbrief voorkeuren
Edit payment,Wijzig betaalmethode
Edit personal details,Wijzig persoonlijke gegevens
Edit shipping,Wijzig verzending
Edit your profile,Wijzig mijn profiel
Edit your shipping details,Wijzig mijn verzendgegevens
Edit,Wijzig
Email address *,E-mailadres *
Email address,E-mailadres
Enter your email to receive instructions on how to reset your password.,Voer uw e-mailadres in om instructies te ontvangen over het opnieuw instellen van uw wachtwoord.
Erin recommends,Erin beveelt aan
Error while sending reset password e-mail,Fout bij het verzenden van de wachtwoord reset email
Error: Error placing an order,Error: Er iets fout gegaan tijdens het verwerken van uw order
Everything new,Nieuwe producten
Field is required,Veld is verplicht
Filter,Filter
Filters,Filters
First name *,Voornaam *
First name,Voornaam
Forgot the password?,Wachtwoord vergeten?
General agreement,Algemene overeenkomst
Get inspired,Krijg inspiratie
Go review the order,Controleer de order
Go to Facebook,Ga naar Facebook
Go to Instagram,Ga naar Instagram
Go to Pinterest,Ga naar Pinterest
Go to Youtube,Ga naar Youtube
Go to checkout,Ga naar afrekenen
Grand Total,Totaal
Help,Hulp
Home,Home
House/Apartment number *,Huisnummer/Toevoeging *
House/Apartment number,Huisnummer/toevoeging
I accept ,Ik accepteer
I agree to,Ik ga akkoord met
I have a company and want to receive an invoice for every order,Ik heb een bedrijf en ik wil voor iedere bestelling een factuur ontvangen
I want to create an account',Ik wil een account aanmaken'
I want to create an account,Ik wil een account aanmaken
I want to generate an invoice for the company,Ik wil een zakelijke factuur genereren
I want to receive a newsletter, and agree to its terms,Ik wil de nieuwsbrief ontvangen en ga akkoord met de voorwaarden
If you need an assistance you can drop us a line on,"Als u hulp nodig heeft, kunt u ons een bericht sturen via"
In stock!,Op voorraad!
In stock,Op voorraad
