"A customer with the same email already exists in an associated website.","Sama e-postiga klient juba eksisteerib."
"About us (Magento CMS)","About us (Magento CMS)"
"About us",Meist
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add a discount code","Lisa sooduskood"
"Add discount code","Lisa sooduskood"
"Add to cart",Osta
"Add to compare","Lisa võrdlusesse"
"Add to favorite","Lisa lemmikuks"
"Allow notification about the order","Luba tellimusge seotud teadete edastamine"
"Are you sure you would like to remove all the items from the shopping cart?","Olete kindel, et soovi deemaldada kõik tooted ostukorvist?"
"Are you sure you would like to remove all the items from the wishlist?","Olete kindel, et soovite kõik tooted soovikorvist eemaldada?"
"Authorization in progress ...","Sisse logimine ..."
"Back to login","Tagasi sisse logima"
"Billing address",Makseaadress
"Cash on delivery","Sularahas tellimuse kohaletoimetamisel"
"Change my password","Muuda parooli"
"Choose your country","Vali riik"
"City *","Linn *"
"Clear cart","Tühjenda ostukorv"
"Clear filters","Tühista filtrid"
"Clear wishlist","Tühjenda soovikorv"
"Cms Page Sync","Sisulehekülgede sünkroniseerimine"
"Company name *","Ettevõtte *"
"Compare products","Võrdle tooteid"
"Confirm your order","Kinnitage oma tellimus"
"Contact us","Võta ühendust"
"Continue to payment",Edasi
"Continue to shipping",Edasi
"Copy address data from shipping","Kopeeri aadress tarneaadressi väljadelt"
"Country *","Riik *"
"Create a new account","Loo konto"
"Current password *","Kasutusel olev parool *"
"Custom Cms Page","Kohandatud sisulehekülg"
"Customer service (Magento CMS)","Customer service (Magento CMS)"
"Customer service",Klienditugi
"DPD Courier","DPD kuller"
"Date and time","Kuupäev ja aeg"
"Discount code",Sooduskood
"Don't hesitate and","Ärge muretsege"
"E-mail address *","E-mail *"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","Ootame Teie poolset tagasisidet oma teenuse täiendamiseks."
"Edit newsletter preferences","Muuda uudiskirjaga liitumist"
"Edit payment","Muuda makseviisi"
"Edit personal details","Muuda kliendi infot"
"Edit shipping","Muuda tarneviisi"
"Edit your profile","Muuda oma kontot"
"Edit your shipping details","Muuda oma aadresse"
"Email address *","E-maili aadress *"
"Email address",E-mail
"Enter your email to receive instructions on how to reset your password.","Sisesta e-mail ja saadame sulle parooli muutmise juhendi."
