"Remove from compare","Eliminar de comparar"
"Resetting the password ... ","Restableciendo la contraseña ... "
"Error while sending reset password e-mail","Error al enviar el correo electrónico para el restablecimiento de contraseña"
"Authorization in progress ...","Autorización en progreso ..."
"You have been successfully subscribed to our newsletter!","¡Se suscribió exitosamente a nuestro boletín informativo!"
"Everything new","Todo nuevo"
"Get inspired","Inspírate"
"Size guide","Guia de tallas"
"Add to favorite","Agregar a Favoritos"
"Add to compare","Añadir a comparar"
"Product details","Detalles del producto"
"Filters","Filtros"
"My account","Mi cuenta"
"My Account","Mi Cuenta"
"Logout","Cerrar sesión"
"Enter your email to receive instructions on how to reset your password.","Ingrese su correo electrónico para recibir instrucciones sobre cómo restablecer su contraseña."
"Reset password","Restablecer la contraseña"
"or","o"
"return to log in","volver a iniciar sesión"
"Back to login","Atrás para iniciar sesión"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Hemos enviado instrucciones de restablecimiento de contraseña a su correo electrónico. Revisa tu bandeja de entrada y sigue el enlace."
"Log in","Iniciar sesión"
"Remember me","Recuérdame"
"Forgot the password?","Olvidaste la contraseña?"
"Log in to your account","Ingrese a su cuenta"
"You must accept the terms and conditions.","Debe aceptar los Términos y Condiciones."
"Register","Registro"
"register an account","registrar una cuenta"
"Register an account","Registrar una cuenta"
"login to your account","ingrese a su cuenta"
"Filter","Filtro"
"color_filter","Color"
"size_filter","Tamaño"
"price_filter","Precio"
"Price","Precio"
"Order Summary","Resumen del pedido"
"Safety","Seguridad"
"Shipping","Envío"
"Payment","Pago"
"Returns","Devoluciones"
"Review order","Orden de revisión"
"Please check if all data are correct","Por favor verifique si todos los datos son correctos"
"I agree to","Estoy de acuerdo con"
"Terms and conditions","Términos y Condiciones"
"Place the order","Hacer el pedido"
"Edit payment","Editar pago"
"We will send you the invoice to given e-mail address","Le enviaremos la factura a la dirección de correo electrónico especificada"
"Payment method","Método de pago"
"Go review the order","Revisa la orden"
"Phone number may be needed by carrier","El operador puede necesitar el número de teléfono"
"Personal Details","Detalles personales"
"Edit personal details","Editar detalles personales"
"Continue to shipping","Continuar con el envío"
"We will send you details regarding the order","Le enviaremos detalles sobre el pedido"
"The new account will be created with the purchase. You will receive details on e-mail.","La nueva cuenta se creará con la compra. Recibirá detalles sobre el correo electrónico."
"Qty","Cantidad"
"Edit shipping","Editar envío"
"Ship to my default address","Enviar a mi dirección predeterminada"
"Shipping method","Método de envío"
"Continue to payment","Continuar con el pago"
"Departments","Departamentos"
"Women fashion","Moda femenina"
"Men's fashion","Moda de hombres"
"Kidswear","Ropa de niños"
"Home","Inicio"
"Orders","Pedidos"
"Track my order","Seguir mi orden"
"Delivery","Entrega"
"Return policy","Politica de devolucion"
