" is out of stock!"," on loppu varastosta"
"404 Page Not Found","404 Sivua ei löydy"
"Account data has successfully been updated","Tilin tiedot on päivitetty"
"Add review","Lisää arvostelu"
"Adding a review ...","Lisätään arvostelua…"
"Address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","Kassalla annettu osoite on virheellinen. Tarkista, että kaikki pakolliset kentät on täytetty. Tilauksesi on peruttu. Ongelman jatkuessa ota yhteyttä sähköpostilla osoitteeseen {email}."
"Allow notification about the order","Salli ilmoitus tilauksesta"
"Are you sure you would like to remove this item from the shopping cart?","Haluatko varmasti poistaa tuotteen ostoskorista?"
"Compare Products","Vertaile tuotteita"
"Compare products","Vertaile tuotteita"
"Confirm your order","Vahvista tilaus"
"Error refreshing user token. User is not authorized to access the resource","Käyttöoikeus puuttuu."
"Error with response - bad content-type!","Virhe sivun latauksessa - väärä sisältötyyppi."
"Error: Error while adding products","Virhe tuotteiden lisäyksessä."
"Extension developers would like to thank you for placing an order!","Laajennuksen kehittäjät kiittävät tilauksesta!"
"Field is required","Vaadittu tieto"
"Field is required.","Vaadittu tieto"
"Grand total",Yhteensä
"Home Page",Etusivu
"In stock!",Varastossa
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Virhe käyttöoikeuksien tarkistuksessa. Tyhjennä selaimen muisti ja lataa sivu uudelleen."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Tarkista, että kaikki pakolliset kentät on täytetty. Ongelman jatkuessa ota yhteyttä sähköpostilla osoitteeseen {email}."
"Must be greater than 0","Oltava suurempi kuin 0"
"My Account","Oma tili"
"Newsletter preferences have successfully been updated","Uutiskirjeen asetukset on päivitetty"
"No available product variants","Tuotevaihtoehtoja ei ole saatavilla."
"No products synchronized for this category. Please come back while online!","Kategoriassa ei ole tuotteita. Yritä uudelleen, kun verkkoyhteys on palautunut."
"No such configuration for the product. Please do choose another combination of attributes.","Valintaa vastaavaa tuotetta ei löydy."
"Only {maxQuantity} products of this type are available!","Vain {maxQuantity} saatavilla"
"Or if you will stay on ""Order confirmation"" page, the order will be placed automatically without confirmation, once the internet connection will be back.","Tai, jos pysyt tilausvahvistussivulla, tilaus tehdään automaattisesti ilman vahvistusta yhteyden palautuessa."
"Out of stock!","Loppu varastosta"
"Out of the stock!","Loppu varastosta"
"Payment Information","Maksun tiedot"
"Please configure product bundle options and fix the validation errors","Tee valinnat"
"Please configure product custom options and fix the validation errors","Tee valinnat"
"Please confirm order you placed when you was offline","Vahvista yhteydettömässä tilassa tekemäsi tilaus"
"Please fix the validation errors","Korjaa virheelliset tiedot."
"Please select the field which You like to sort by","Valitse tieto, jonka mukaan haluat järjestää"
"Please wait ...","Odota hetki ..."
"Proceed to checkout",Kassalle
"Processing order...","Käsitellään tilausta..."
"Product has been added to the cart!","Tuote on lisätty ostoskoriin."
"Product price is unknown, product cannot be added to the cart!","Tuotteen hinta ei ole saatavilla ja sitä ei voida lisätä ostoskoriin."
"Product quantity has been updated!","Tuotteen varastosaldo on päivitetty."
"Product {productName} has been added to the compare!","{productName} on lisätty tuotevertailuun."
"Product {productName} has been added to wishlist!","{productName} on lisätty toivelistaan."
"Product {productName} has been removed from compare!","{productName} on poistettu tuotevertailusta."
"Product {productName} has been removed from wishlist!","{productName} on poistettu toivelistasta"
"Quantity available offline","Määrä saatavilla yhteydettömässä tilassa"
"Quantity available","Määrä saatavilla"
"Quantity must be above 0","Määrän pitää olla suurempi kuin 0"
"Quantity must be below {quantity}","Määrän pitää olla alle {quantity}"
"Quantity must be positive integer","Määrän pitää olla kokonaisluku"
"Registering the account ...","Luodaan tiliä ..."
"Reset password feature does not work while offline!","Salasanan uusiminen ei ole käytössä yhteydettömässä tilassa."
"Select 0","Valitse 0"
"Select 1","Valitse 1"
"Shopping cart is empty. Please add some products before entering Checkout","Ostoskori on tyhjä. Lisää tuotteita ennen kuin siirryt kassalle."
"Some of the ordered products are not available!","Jotkut tilatuista tuotteista eivät ole saatavilla."
"Stock check in progress, please wait while available stock quantities are checked","Odota hetki, varastosaldoja tarkistetaan"
"Subtotal incl. tax","Välisumma (sis. ALV)"
"The product is out of stock and cannot be added to the cart!","Tuotetta ei ole varastossa."
"The product, category or CMS page is not available in Offline mode. Redirecting to Home.","Sivu ei ole saatavilla yhteydettömässä tilassa. Ohjataan etusivulle."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","Tuotteen saatavuus on epävarma. Tuote on lisätty ostoskoriin ennakkovarauksena."
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Verkkoyhteys ei ole saatavilla. Voit silti tehdä tilauksen. Saat myöhemmin ilmoituksen, mikäli jokin tilaamistasi tuotteista ei ole saatavilla."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","Tätä ominaisuutta ei ole vielä toteutettu. Järjestelmän kehityssuunnitelma löytyy osoitteesta https://github.com/DivanteLtd/vue-storefront/issues."
"Type what you are looking for...",Hae
"Unexpected authorization error. Check your Network conection.","Odottamaton virhe oikeuksien tarkistamisessa. Tarkista verkkoyhteys."
"Unhandled error, wrong response format!","Odottamaton virhe, väärä vastauksen formaatti."
"Vue Storefront","Vue Storefront"
"You are going to pay for this order upon delivery.","Maksat tilauksen toimituksen yhteydessä"
"You are logged in!","Olet kirjautuneena."
"You are to pay for this order upon delivery.","Maksu peritään toimituksen yhteydessä"
"You need to be logged in to see this page","Kirjaudu sisään nähdäksesi tämän sivun."
"You submitted your review for moderation.","Arvostelu on lähetetty tarkastettavaksi"
"You're logged out","Et ole kirjautuneena"
"have as many","määrä on"
"most you may purchase",Maksimitilausmäärä
"not authorized","ei sallittu"
"to account",tilille
Checkout,Kassa
Columns,Sarakkeet
OK,Ok
Review,Arvostelu
Reviews,Arvostelut
Summary,Tiivistelmä
Thumbnail,Pienoiskuva
email,sähköposti
login,"kirjaudu sisään"
password,salasana
