"A customer with the same email already exists in an associated website.","Samalla sähköpostiosoitteella on jo asiakas samalla sivustolla."
"About us (Magento CMS)","Tietoja verkkokaupasta (Magento CMS)"
"About us","Tietoja verkkokaupasta"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add a discount code","Lisää alennuskoodi"
"Add discount code","Lisää alennuskoodi"
"Add to cart","Lisää koriin"
"Add to compare","Lisää vertailuun"
"Add to favorite","Lisää suosikiksi"
"Allow notification about the order","Vastaanota ilmoitus tilauksesta"
"Are you sure you would like to remove all the items from the shopping cart?",
"Are you sure you would like to remove all the items from the wishlist?","Haluatko varmasti poistaa kaikki tuotteet toivelistalta?"
"Authorization in progress ...","Tarkistetaan oikeuksia ..."
"Back to login","Takaisin kirjautumiseen"
"Billing address",Laskutusosoite
"Cash on delivery","Maksu toimituksen yhteydessä"
"Change my password","Vaihda salasanaa"
"Choose your country","Valitse maa"
"City *","Kaupunki *"
"Clear cart","Tyhjennä ostoskori"
"Clear filters","Tyhjennä suodattimet"
"Clear wishlist","Tyhjennä toivelista"
"Cms Page Sync","Sisältösivun synkronointi"
"Company name *","Yrityksen nimi *"
"Compare products","Vertaile tuotteita"
"Confirm your order","Vahvista tilaus"
"Contact us","Ota yhteyttä"
"Continue to payment","Jatka maksuun"
"Continue to shipping","Jatka toimitukseen"
"Copy address data from shipping","Kopioi osoite toimitustiedoista"
"Country *","Maa *"
"Create a new account","Luo uusi tili"
"Current password *","Salasana *"
"Custom Cms Page","Muokattu sisältösivu"
"Customer service (Magento CMS)","Asiakaspalvelu (Magento CMS)"
"Customer service",Asiakaspalvelu
"DPD Courier",DPD-kuriiri
"Date and time","Päivä ja aika"
"Discount code",Alennuskoodi
"Don't hesitate and","Älä epäröi ja"
"E-mail address *","Sähköposti *"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","Miten voisimme palvella vielä paremmin? Lähetä meille palautetta yhteydenottosivun kautta."
"Edit newsletter preferences","Muokkaa uutiskirjeen asetuksia"
"Edit payment","Muokkaa maksua"
"Edit personal details","Muokkaa omia tietoja"
"Edit shipping","Muokkaa toimitusta"
"Edit your profile","Muokkaa omaa profiilia"
"Edit your shipping details","Muokkaa omia toimitustietoja"
"Email address *","Sähköposti *"""
"Email address","Sähköposti"""
"Enter your email to receive instructions on how to reset your password.","Syötä sähköpostiosoitteesi, johon haluat vastaanottaa ohjeet salasanan uusimisesta."
"Erin recommends",Suosittelemme
"Error while sending reset password e-mail","Sähköpostin lähetys epäonnistui."
"Everything new",Uutuudet
"Extension developers would like to thank you for placing an order!","Laajennuksen kehittäjät kiittävät tilauksesta!"
"Field is required","Vaadittu tieto"
"Filter by categories","Suodata kategorian mukaan"
"First name *","Etunimi *"
"First name",Etunimi
"Forgot the password?","Unohditko salasanasi?"
"General agreement","Yleiset sopimusehdot"
"Get inspired",Inspiroidu
"Give a feedback","Anna palautetta"
"Go review the order","Tarkista tilaus"
"Go to Facebook",Facebook
"Go to Instagram",Instagram
"Go to Pinterest",Pinterest
"Go to Youtube",Youtube
"Go to checkout",Kassalle
"House/Apartment number *","Talon/huoneiston numero *"
"House/Apartment number","Talon/huoneiston numero"
"I accept ","Hyväksyn "
"I accept terms and conditions","Hyväksyn ehdot"
"I agree to","Hyväksyn, että"
"I have a company and want to receive an invoice for every order","Minulla on yritys ja haluan laskun jokaisesta tilauksesta"
"I want to create an account","Haluan luoda tilin"
"I want to create an account'","Haluan luoda tilin"
"I want to generate an invoice for the company","Haluan laskun yritykselle"
"I want to receive a newsletter, and agree to its terms","Haluan tilata uutiskirjeen ja hyväksyn ehdot"
"If you need an assistance you can drop us a line on","Jos tarvitset apua, voit kirjoittaa meille"
