"About us","O nás"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add a discount code","Přidejte kód pro slevu"
"Add discount code","Použít"
"Add to cart","Přidat do košíku"
"Add to compare","Přidat ke srovnání"
"Add to favorite","Přidat do oblíbených"
"Allow notification about the order","Povolit oznámení o objednávce"
"Author","Autor"
"Authorization in progress ...","Probíhá autorizace ..."
"Back to login","Zpět k přihlášení"
"Back","Zpět"
"Billing address","Fakturační adresa"
"Cancel","Zrušit"
"Cash on delivery","Dobírka"
"Change my password","Změnit mé heslo"
"Choose your country","Vyberte svoji zemi"
"City *","Město *"
"City","Město"
"Close","Zavřít"
"Cms Page Sync","Synchronizace stránky Cms"
"Company name *","Jméno firmy *"
"Compare products","Porovnejte produkty"
"Confirm your order","Potvrďte svou objednávku"
"Contact us","Kontaktujte nás"
"Continue to payment","Pokračujte v platbě"
"Continue to shipping","Pokračujte na údaje o dopravě"
"Copy address data from shipping","Zkopírujte data z informací pro doručení"
"Country *","Země *"
"Country","Země"
"Create a new account","Vytvořit nový účet"
"Current password *","Aktuální heslo *"
"Custom Cms Page","Vlastní stránka Cms"
"Customer service","Služby zákazníkům"
"DPD Courier","DPD"
"Date and time","Datum a čas"
"Delivery","Doručení"
"Departments","Oddělení"
"Discount code","Slevový kód"
"Discount","Sleva"
"Don't hesitate and","Neváhejte a"
"E-mail address *","E-mailová adresa *"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","Zašlete nám e-mail na <b>demo@vuestorefront.io</b> s jakýmikoliv otázkami či návrhy, jak bychom mohli zlepšit produkty nebo požitek z nákupu"
"Edit newsletter preferences","Upravte předvolby pro zasílání novinek"
"Edit payment","Upravit platbu"
"Edit personal details","Upravit osobní údaje"
"Edit shipping","Upravit informace o dopravě"
"Edit your profile","Upravte svůj profil"
"Edit your shipping details","Upravte své informace pro doručení"
"Edit","Upravit"
"Email address *","Emailová adresa *"
"Email address","Emailová adresa"
"English","Angličtina"
"Enter your email to receive instructions on how to reset your password.","Zadejte svůj e-mail pro zaslání instrukcí pro obnovení hesla."
"Erin recommends","Erin doporučuje"
"Error while sending reset password e-mail","Chyba při posílání e-mailu pro obnovu hesla"
"Everything new","Všechny novinky"
"Extension developers would like to thank you for placing an order!","Vývojáři rozšíření by vám chtěli poděkovat za zadání objednávky!"
"Field is required","Políčko je vyžadováno"
"Filter","Filtr"
"Filters","Filtry"
"First name *","Jméno *"
"First name","Jméno"
"Forgot the password?","Zapomněli jste heslo?"
"General agreement","Obecná dohoda"
"German","Němčina"
"Germany","Německo"
"Get inspired","Inspirujte se"
"Give a feedback","Dejte nám zpětnou vazbu"
"Go review the order","Přejít na kontrolu objednávky"
"Go to Facebook","Přejít na Facebook"
"Go to Instagram","Přejít na Instagram"
"Go to Pinterest","Přejít na Pinterest"
"Go to Youtube","Přejít na Youtube"
"Go to checkout","Přejít k pokladně"
"Help","Pomoc"
"Home","Domovská stránka"
"House/Apartment number *","Číslo domu/bytu *"
"House/Apartment number","Číslo domu/bytu"
"I accept ","Přijímám "
"I accept terms and conditions","Souhlasím s podmínkami"
"I agree to","Souhlasím"
"I have a company and want to receive an invoice for every order","Mám společnost a chci obdržet fakturu za každou objednávku"
"I want to create an account","Chci vytvořit účet"
"I want to create an account'","Chci vytvořit účet'"
"I want to generate an invoice for the company","Chci vygenerovat fakturu pro firmu"
"I want to receive a newsletter, and agree to its terms","Chci dostávat novinky a souhlasím s jejích podmínkami"
"If you need an assistance you can drop us a line on","Pokud potřebujete pomoc, můžete nás kontaktovat na"
