"About us","About us"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add a discount code","ディスカウントコードを追加する"
"Add discount code","申し込み"
"Add to cart","カートに追加"
"Add to compare","比較への追加"
"Add to favorite","お気に入りへの追加"
"Author","書いた人"
"Authorization in progress ...","認証を実行中 ..."
"Back to login","ログインに戻る"
"Back","戻る"
"Billing address","請求先住所"
"Cancel","キャンセル"
"Change my password","パスワードの変更"
"City *","市町村 *"
"City","市町村"
"Close","閉じる"
"Company name *","会社名 *"
"Contact us","Contact us"
"Continue to payment","支払いに進む"
"Continue to shipping","買い物を続ける"
"Copy address data from shipping","発送先の住所をコピーする"
"Country *","国 *"
"Country","国"
"Create a new account","アカウントを作る"
"Current password *","現在のパスワード *"
"Customer service","カスタマーサービス"
"Date and time","日時"
"Delivery","発送"
"Departments","部署"
"Discount code","ディスカウントコード"
"Discount","ディスカウント"
"Don't hesitate and","躊躇しないで"
"E-mail address *","メールアドレス *"
"Edit newsletter preferences","ニュースレターの設定を変更する"
"Edit payment","支払いの編集"
"Edit personal details","個人の詳細の編集"
"Edit shipping","発送方法の編集"
"Edit your profile","プロフールの編集"
"Edit your shipping details","買い物の詳細を編集"
"Edit","編集"
"Email address *","メールアドレス *"
"Email address","メールアドレス"
"Enter your email to receive instructions on how to reset your password.","メールアドレスを入力して、パスワードリセットの手順を受信してください。"
"Erin recommends","エリンのおすすめ"
"Error while sending reset password e-mail","リセットパスワードを送る際にエラー"
"Everything new","全ての新しいもの"
"Field is required","必須の項目です"
"Filter","フィルター"
"Filters","フィルター"
"First name *","名 *"
"First name","名"
"Forgot the password?","パスワードを忘れましたか?"
"General agreement","ユーザー同意"
"Get inspired","インスピレーションをもらいましょう"
"Go review the order","注文の確認"
"Go to Facebook","Facebookへ行く"
"Go to Instagram","Instagramへ行く"
"Go to Pinterest","Pinterestへ行く"
"Go to Youtube","Youtubeへ行く"
"Go to checkout","チェックアウトに進む"
"Help","ヘルプ"
"Home","ホーム"
"House/Apartment number *","部屋番号、建物名 *"
"House/Apartment number","部屋番号、建物名"
"I accept ","同意する "
"I accept terms and conditions","利用規約に同意する"
"I agree to","同意します"
"I have a company and want to receive an invoice for every order","法人からなので、全ての注文に請求書を発行してください"
"I want to create an account","アカウントを作成"
"I want to create an account'","アカウントを作成する'"
"I want to generate an invoice for the company","この会社への請求書を発行する"
"I want to receive a newsletter, and agree to its terms","規約に同意して、ニュースレターを受け取ります"
"If you need an assistance you can drop us a line on","お問合わせはこちらからお願いします"
"Items ordered","注文されました"
"Kidswear","子供服"
"Last name *","姓 *"
"Last name","姓"
"Legal notice","法律のお知らせ"
"Log in to your account","アカウントにログインする"
"Log in","ログイン"
"Login to your account","アカウントにログイン"
"Logout","ログアウト"
"Magazine","マガジン"
