"About us","Sobre nós"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add a discount code","Adicionar cupom de desconto"
"Add discount code","Aplicar"
"Add to cart","Adicionar ao carrinho"
"Add to compare","Adicionar para Comparação"
"Add to favorite","Adicionar aos Favoritos"
"Author","Autor"
"Authorization in progress ...","Autorização em progresso ..."
"Back to login","Voltar para Login"
"Back","Voltar"
"Billing address","Endereço de Cobrança"
"Cancel","Cancelar"
"Change my password","Mudar minha senha"
"City *","Cidade *"
"City","Cidade"
"Close","Fechar"
"Company name *","Nome Fantasia *"
"Contact us","Entre em contato"
"Continue to payment","Continuar para Pagamento"
"Continue to shipping","Continuar para entrega"
"Copy address data from shipping","Copiar endereço dos dados de entrega"
"Country *","País *"
"Country","País"
"Create a new account","Criar uma nova conta"
"Current password *","Senha atual *"
"Customer service","Serviço de Atendimento ao Cliente"
"Date and time","Data e hora"
"Delivery","Entrega"
"Departments","Departamentos"
"Discount code","Código de desconto"
"Discount","Desconto"
"Don't hesitate and","Não hesite e"
"E-mail address *","Endereço de E-mail *"
"Edit newsletter preferences","Editar preferências de newsletter"
"Edit payment","Editar pagamento"
"Edit personal details","Editar dados pessoais"
"Edit shipping","Editar entrega"
"Edit your profile","Editar seu perfil"
"Edit your shipping details","Editar detalhes de entrega"
"Edit","Editar"
"Email address *","Endereço de E-mail *"
"Email address","Endereço E-mail"
"Enter your email to receive instructions on how to reset your password.","Informe um e-mail para receber as instruções de como recuperar sua senha."
"Erin recommends","Erin recomenda"
"Error while sending reset password e-mail","Ocorreu um erro ao enviar o e-mail de recuperação de senha"
"Everything new","Tudo novo"
"Field is required","Campo é obrigatório"
"Filter","Filtro"
"Filters","Filtros"
"First name *","Nome *"
"First name","Nome"
"Forgot the password?","Esqueceu a senha?"
"General agreement","Acordo geral"
"Get inspired","Se inspire"
"Go review the order","Ir para revisão do pedido"
"Go to Facebook","Ir para Facebook"
"Go to Instagram","Ir para Instagram"
"Go to Pinterest","Ir para Pinterest"
"Go to Youtube","Ir para Youtube"
"Go to checkout","Finalizar Compra"
"Help","Ajuda"
"Home","Início"
"House/Apartment number *","Número *"
"House/Apartment number","Número"
"I accept ","Eu aceito "
"I accept terms and conditions","Eu aceito os termos e condições"
"I agree to","Eu concordo com"
"I have a company and want to receive an invoice for every order","Eu possuo uma empresa e quero receber uma fatura para todos os pedidos"
"I want to create an account","Eu quero criar uma conta"
"I want to create an account'","Eu quero criar uma conta'"
"I want to generate an invoice for the company","Eu quero criar uma fatura para uma empresa"
"I want to receive a newsletter, and agree to its terms","Eu quero receber novidades, e concordo com os termos"
"If you need an assistance you can drop us a line on","Caso precise de alguma ajuda você pode nos deixar uma mensagem"
"Items ordered","Itens do pedido"
"Kidswear","Moda Infantil"
"Last name *","Sobrenome *"
"Last name","Sobrenome"
"Legal notice","Aviso Legal"
"Log in to your account","Logar na sua conta"
"Log in","Entrar"
