"My Account","Minu konto"
"Field is required",Kohustuslik
"Confirm your order","Kinnitage oma tellimus"
"Please confirm order you placed when you was offline","Palun kinnitage oma tellimuse, mille ilma interneti ühenduseta varasemalt tegite"
"Allow notification about the order","Luba tellimusge seotud teadete edastamine"
"Extension developers would like to thank you for placing an order!","Mooduli loojad tänavad tellimuse tegemise eest!"
"Compare products","Võrdle tooteid"
login,"logi sisse"
"Remove from compare","Eemalda võrdlusest"
"Resetting the password ... ","Muudame parooli…"
"Error while sending reset password e-mail","Parooli muutmise e-maili edastamisel esines viga."
"Authorization in progress ...",Autoriseerime…
"You have been successfully subscribed to our newsletter!","Olete uudiskirja listi lisatud!"
"Everything new",Uued
"Get inspired","Saa Inspiratsiooni"
"Size guide","Suuruste juhend"
"Add to favorite","Lisa lemmikuks"
"Add to compare","Lisa võrdlusesse"
"Product details","Toote kirjeldus"
Filters,Filtreeri
"My account","Minu konto"
Logout,"Logi välja"
"Enter your email to receive instructions on how to reset your password.","Sisesta e-mail ja saadame sulle parooli muutmise juhendi."
"Reset password","Muuda parool"
or,või
"return to log in","tagasi sisse logima"
"Back to login","Tagasi sisse logima"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Saatsime Teile parooli muutmise juhendi. Palun kontrollige oma e-maili."
"Log in","logi sisse"
"Remember me","Jäta mind meelde"
"Forgot the password?","Unustasite parooli?"
"Log in to your account","Logi sisse"
"You must accept the terms and conditions.","Nõustun kasutustingimustega"
Register,Registreeri
"register an account","loo konto"
"Register an account","Loo konto"
"login to your account","logi sisse"
Filter,Filtreeri
"Clear filters","Tühista filtrid"
color_filter,värv_filter
size_filter,suurus_filter
price_filter,hind_filter
Price,Hind
"Order Summary","Tellimuse kokkuvõte"
Safety,Turvalisus
Shipping,Tarneviis
Payment,Makseviis
Returns,Tagastamine
"Review order","Tellimuse ülevaade"
"Please check if all data are correct","Palun kontrollige, et kõik oleks õige"
"I agree to",Nõustun
"Terms and conditions",Kasutustingimused
"Place the order",Telli
"Edit payment","Muuda makseviisi"
"We will send you the invoice to given e-mail address","Saadame sisestatud e-mailile tellimuse kinnituse ja arve"
"Payment method",Makseviis
"Go review the order","Kontrolli tellimust"
"Phone number may be needed by carrier","Vajame toodete kohale toimetamiseks teie mobiilinumbrit"
"Personal Details","Kliendi info"
"Edit personal details","Muuda kliendi infot"
"Continue to shipping",Edasi
"We will send you details regarding the order","Saadame Teile tellimuse kohta informatsiooni"
"The new account will be created with the purchase. You will receive details on e-mail.","Konto luuakse koos tellimuse vormistamisega. Saadame Teile konto loomise kohta e-maili."
Qty,Kogus
"Edit shipping","Muuda tarneviisi"
"Ship to my default address","Saada kaup mu vaikimisi aadressile"
"Shipping method",Tarneviis
"Continue to payment",Edasi
Departments,Kategooria
"Women fashion","Naiste riided"
"Men's fashion","Meeste riided"
Kidswear,"Laste riided"
Home,Esileht
Orders,Tellimused
"Track my order","Jälgi oma tellimust"
Delivery,Tarne
"Return policy",Tagasitamine
"Customer service",Klienditugi
"Contact us","Võta ühendust"
"About us",Meist
"Price: High to low","Kallimad eespool"
"Price: Low to high","Odavamad eespool"
Clear,Tühista
"About us (Magento CMS)","About us (Magento CMS)"
"Store locator","Otsi kauplus"
"Legal notice","Õiguslik teade"
"Privacy policy",Privaatsustingimused
"Subscribe to the newsletter and receive a coupon for 10% off","Liitu uudiskirjaga ja saad 10% soodustusega kupongi"
Subscribe,Liitu
"Return to shopping",Tagasi
"Login to your account","Logige sisse"
"You are logged in as","Olete sisse logitud kui"
Edit,Muuda
"Shopping cart",Ostukorv
"Clear cart","Tühjenda ostukorv"
"Your shopping cart is empty.","Teie ostukorv on tühi"
"Don't hesitate and","Ärge muretsege"
"browse our catalog","Sirvi tooteid"
"to find something beautiful for You!","leia midagi ilusat"
"Shopping summary","Ostu kokkuvõte"
"Go to checkout","Ostu vormistama"
Remove,Eemalda
"My newsletter","Minu uudiskiri"
"Edit newsletter preferences","Muuda uudiskirjaga liitumist"
"General agreement","Üldine nõustumine"
Cancel,Tühista
"Update my preferences","Muuda oma eelistusi"
"My profile","Minu konto"
"Edit your profile","Muuda oma kontot"
"Update my profile","Uuenda oma kontot"
"My shipping details","Minu aadressid"
"Edit your shipping details","Muuda oma aadresse"
"Update my shipping details","Uuenda oma aadresse"
Country,Riik
"Similar products","Sarnased tooted"
"We found other products you might like","Leidsime veel tooteid, mis Teile võiks meeldida"
"No results were found.","Vasteid ei leitud."
"Searched term should consist of at least 3 characters.","Otsingu sõna peab sisaldama vähemalt kolme tähte."
Magazine,Kataloog
Sale,Allahindlus
"My orders","Minu tellimused"
"My loyalty card","Minu loyaalsus kaart"
"My product reviews","Minu kommentaarid"
Wishlist,Soovikorv
"Clear wishlist","Tühjenda soovikorv"
"Your wishlist is empty.","Teie Sooviskord on tühi"
"Add to cart",Osta
"Select color ","Vali värv"
"See details",Rohkem
"We use cookies to give you the best shopping experience.","Meie e-pood kasutab küpsiseid. "
Newsletter,Uudiskiri
"Sign up to our newsletter and receive a coupon for 10% off!","Liitu meie uudiskirjaga ja saad 10% sooduskupongi!"
Quantity,Kogus
"Price ",Hind
"Select size ","Vali suurus"
"You have no items to compare.","Võrdlus on tühi"
"New Luma Yoga Collection","Uus Luma yoga kollektsioon"
"We can't find the page","Me ei leia soovitud lehekülge"
"Unfortunately we can't find the page you are looking for.","Kahjuks me ei leia otsitavat lehekülge."
"If you need an assistance you can drop us a line on","Anna meile märku, kui vajad abi."
"a chat","kirjuta sõnum"
"or write to us through","või kirjuta meile"
"a contact page","sõnumi vorm"
"You can also use","või kasuta"
search,otsi
"to find product you were looking for.",",et leida otsitav toode."
"See our bestsellers","Vaata meie enim müüdud tooteid"
"You are offline. Some features might not be available.","Teil puudub internetiühendus. Mõned funktsionaalsused võivad seetõttu mitte töötada."
Search,Otsi
Help,Abi
"Go to Facebook",Facebook
"Go to Instagram",Instagram
"Go to Pinterest",Pinterest
"Go to Youtube",Youtube
"I accept ",Kinnitan
"Use my billing data","Kasutage minu makseinformatsiooni"
"I want to generate an invoice for the company","Soovin ettevõtte nimele arvet"
"Name must have at least 2 letters.","Nimi peab sisaldama vähemalt kahte tähte"
"Name must have at least 3 letters.","Nimi peab sisaldama vähemalt kolme tähte"
"Zip-code must have at least 3 letters.","Sihtnumber peab sisaldama vähemalt viite numbrit"
"I want to create an account'","Tahan kontot luua'"
"Copy address data from shipping","Kopeeri aadress tarneaadressi väljadelt"
"Tax identification number must have at least 3 letters.","Käibemaksukood peab olema vähemalt 3 tähte."
"Please provide valid e-mail address.","Kontrolli e-maili aadressi"
"Use my company's address details","Kasuta ettevõtte aadressi"
"Passwords must be identical","Paroolid ei ole samad"
"E-mail address *","E-mail *"
"Password *","Parool *"
"First name",Eesnimi
items,tooted
"Last name",Perekonnanimi
"Email address",E-mail
"Change my password","Muuda parooli"
"I have a company and want to receive an invoice for every order","Soovin iga tellimusega ettevõttele arvet"
"Company name *","Ettevõtte *"
"Street name *","Tänav *"
"House/Apartment number *","Maja/korter *"
"City *","Linn *"
"Zip-code *","Sihtnumber *"
"Tax ID *","Käibemaksunumber *"
"State / Province",Maakond
City,Linn
"Phone Number",Mobiilinumber
"House/Apartment number",Maja/koter
"Street name",Tänav
