" is out of stock!","ei ole laos!"
"404 Page Not Found","404 Lehekülge ei leitud"
"Account data has successfully been updated","Konto andmed uuendatud"
"Add review","Lisa kommentaar"
"Adding a review ...","Lisan kommentaari ..."
"Address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","Ostuvormistamisel sisestatud aadress sisaldab vigu! Palun kontrolli, et kõik kohustuslikud väljad oleksid täidetud või kirjuta meile {email}."
"Allow notification about the order","Luba tellimusge seotud teadete edastamine"
"Are you sure you would like to remove this item from the shopping cart?","Olete kindel, et soovite antud toote ostukorvist eemaldada?"
"Compare Products","Võrdle tooteid"
"Compare products","Võrdle tooteid"
"Confirm your order","Kinnitage oma tellimus"
"Error refreshing user token. User is not authorized to access the resource","Kasutaja tokeni uuendamisel esineb probleeme. Kasutajal puuduvad õigused antud lehele sisenemiseks"
"Error with response - bad content-type!","Viga sisu laadimisel"
"Error: Error while adding products","Viga toote lisamisel."
"Extension developers would like to thank you for placing an order!","Mooduli loojad tänavad tellimuse tegemise eest!"
"Field is required",Kohustuslik
"Field is required.",Kohustuslik.
"Grand total",Kokku
"Home Page",Esileht
"In stock!",Laos
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Tokeni värskendamisel esines viga. Palun tühjendage vahemälu ja uuendage lehekülge."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Viga! Palun kontrolli, et kõik kohustuslikud väljad oleksid täidetud või kirjuta meile {email}."
"Must be greater than 0","Peab olema suurem, kui 0"
"My Account","Minu konto"
"Newsletter preferences have successfully been updated","Uudiskirjaga liitumine uuendatud"
"No available product variants","Toote valikvariandid puuduvad"
"No products synchronized for this category. Please come back while online!","Kategooria on tühi."
"No such configuration for the product. Please do choose another combination of attributes.","Sellise kombinatsiooniga toodet ei saa tellida."
"Only {maxQuantity} products of this type are available!","Ainult {maxQuantity} seda tüüpi toodet on saadaval!"
"Or if you will stay on ""Order confirmation"" page, the order will be placed automatically without confirmation, once the internet connection will be back.","Või kui sa jäää ""Tellimuse kinnitus"" lehele, tellimus esitatakse internetiühenduse taastudes tellimus automaatselt."
"Out of stock!","Laost otsas!"
"Out of the stock!","Laost otsas"
"Payment Information","Makse informatsioon"
"Please configure product bundle options and fix the validation errors","Toode on valikutega. Palun valige sobivad valikud"
"Please configure product custom options and fix the validation errors","Palun valige sobiv toode"
"Please confirm order you placed when you was offline","Palun kinnitage oma tellimuse, mille ilma interneti ühenduseta varasemalt tegite"
"Please fix the validation errors","Palun parandage valideerimise vead"
"Please select the field which You like to sort by","Palun valige sorteerimise viis"
"Please wait ...","Palun oota ..."
"Proceed to checkout","Vormista ost"
"Processing order...","Tellimuse loomine ..."
"Product has been added to the cart!","Toode lisati ostukorvi."
"Product price is unknown, product cannot be added to the cart!","Tootel puudub hind. Toodet ei saa ostukorvi lisada."
"Product quantity has been updated!","Toote laoseis on uuendatud."
"Product {productName} has been added to the compare!","{productName} lisati võrdlusesse."
"Product {productName} has been added to wishlist!","{productName} Lisati soovikorvi."
"Product {productName} has been removed from compare!","{productName} võrdlusest eemaldatud."
"Product {productName} has been removed from wishlist!","{productName} on sooviloendist eemaldatud."
