"Remove from compare","移除比较"
"Resetting the password ... ","重置密码 ... "
"Error while sending reset password e-mail","发送重置邮件出错"
"Authorization in progress ...","正在验证身份 ..."
"You have been successfully subscribed to our newsletter!","你已成功订阅该新闻组!"
"Everything new","最新上架"
"Get inspired","得到灵感"
"Size guide","尺码向导"
"Add to favorite","收藏"
"Add to compare","商品比较"
"Product details","商品明细"
"Filters","过滤条件"
"My account","我的账户"
"My Account","我的账户"
"Logout","注销"
"Enter your email to receive instructions on how to reset your password.","请输入邮箱，我们将发送邮件告诉你如何重置密码."
"Reset password","重置密码"
"or","或者"
"return to log in","返回登录"
"Back to login","返回登录"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","W已经将密码重置说明发送到您的电子邮箱。 请检查您的收件箱，并点击重置密码链接"
"Log in","登录"
"Remember me","记住我的登录状态"
"Forgot the password?","忘记密码?"
"Log in to your account","登录"
"You must accept the terms and conditions.","您必须接受条款和条件."
"Register","注册"
"register an account","注册"
"Register an account","注册"
"login to your account","登录"
"Filter","过滤"
"color_filter","颜色"
"size_filter","尺码"
"price_filter","价格"
"Price","价格"
"Order Summary","订单摘要"
"Safety","安全"
"Shipping","配送"
"Payment","支付"
"Returns","退货"
"Review order","查看订单"
"Please check if all data are correct","请检查所有数据是否正确"
"I agree to","我同意"
"Terms and conditions","条款和条件"
"Place the order","下订单"
"Edit payment","修改付款方式"
"We will send you the invoice to given e-mail address","我们将发票发送到你的邮箱"
"Payment method","付款方式"
"Go review the order","返回查看订单"
"Phone number may be needed by carrier","配送需要电话号码"
"Personal Details","个人资料"
"Edit personal details","编辑个人资料"
"Continue to shipping","继续发货"
"We will send you details regarding the order","我们会向您发送有关订单的详细信息"
"The new account will be created with the purchase. You will receive details on e-mail.","购买时将创建新帐户。 您将收到有关电子邮件的详细信息。"
"Qty","数量"
"Edit shipping","修改运费"
"Ship to my default address","发送到我的默认地址"
"Shipping method","配送方式"
"Continue to payment","继续付款"
"Departments","部门"
"Women fashion","女性时尚"
"Men's fashion","男性潮流"
"Kidswear","童装"
"Home","主页"
"Orders","订单"
"Track my order","跟踪订单"
"Delivery","Delivery"
"Return policy","退货政策"
"Customer service","顾客服务"
"Contact us","联系我们"
"About us","关于我们"
"Price: High to low","价格:从高到低"
"Price: Low to high","价格: 从低到高"
"Clear","清除"
"About us (Magento CMS)","关于我们(Magento CMS)"
"Store locator","商店定位"
"Legal notice","法律申明"
"Privacy policy","隐私政策"
"Subscribe to the newsletter and receive a coupon for 10% off","订阅时事新闻并获得10％的优惠券"
"Subscribe","订阅"
"Return to shopping","返回购物"
"Login to your account","登录"
"You are logged in as","你已登录"
"Edit","编辑"
"Shopping cart","购物车"
"Your shopping cart is empty.","购物车空空荡荡."
"Don't hesitate and","不要犹豫"
"browse our catalog","浏览我们的目录"
"to find something beautiful for You!","为你寻找美好的东西!"
"Shopping summary","购物车摘要"
"Go to checkout","结算"
"Remove","移除"
"My newsletter","我的新闻"
"Edit newsletter preferences","编辑新闻稿首选项"
"General agreement","通用协议"
"Cancel","取消"
"Update my preferences","更新我的参数"
"My profile","我的头像"
